support,itemsets,length
0.014961231844490554,frozenset({'20111'}),1
0.0031669760838702633,frozenset({'21111'}),1
0.006333952167740527,frozenset({'21112'}),1
0.0025117396527246914,frozenset({'21113'}),1
0.005132685377306978,frozenset({'21211'}),1
0.026537075461395655,frozenset({'21212'}),1
0.014196789341487387,frozenset({'21213'}),1
0.0037130064431582397,frozenset({'21214'}),1
0.029048815114120344,frozenset({'21221'}),1
0.04684940482690838,frozenset({'21222'}),1
0.033853882275854535,frozenset({'21223'}),1
0.016490116850496887,frozenset({'21224'}),1
0.004368242874303811,frozenset({'21225'}),1
0.0033853882275854535,frozenset({'21401'}),1
0.0031669760838702633,frozenset({'21402'}),1
0.039532598012449495,frozenset({'23111'}),1
0.05307415092279131,frozenset({'23112'}),1
0.0579884241563831,frozenset({'23113'}),1
0.037785300862727966,frozenset({'23114'}),1
0.011248225401332313,frozenset({'23115'}),1
0.0048050671617341926,frozenset({'23221'}),1
0.04335481052746533,frozenset({'23311'}),1
0.0600633395216774,frozenset({'23312'}),1
0.04674019875505078,frozenset({'23313'}),1
0.026318663317680464,frozenset({'23314'}),1
0.005569509664737359,frozenset({'23315'}),1
0.10866004149830731,frozenset({'23321'}),1
0.11499399366604783,frozenset({'23322'}),1
0.07917440209675658,frozenset({'23323'}),1
0.04674019875505078,frozenset({'23324'}),1
0.011903461832477886,frozenset({'23325'}),1
0.0115758436169051,frozenset({'23511'}),1
0.01878344435950639,frozenset({'23512'}),1
0.005678715736594954,frozenset({'23513'}),1
0.0060063339521677405,frozenset({'23602'}),1
0.003603800371300644,frozenset({'25531'}),1
0.018128207928360816,frozenset({'25711'}),1
0.003494594299443049,frozenset({'25731'}),1
0.005132685377306978,frozenset({'25761'}),1
0.003603800371300644,frozenset({'26102'}),1
0.0025117396527246914,frozenset({'27201'}),1
0.004477448946161406,frozenset({'27205'}),1
0.08146772960576608,frozenset({'27211'}),1
0.003057770012012668,frozenset({'27215'}),1
0.014087583269629791,frozenset({'27602'}),1
0.006224746095882931,frozenset({'29101'}),1
0.006770776455170907,frozenset({'32231'}),1
0.021404390084088676,frozenset({'33111'}),1
0.019547886862509557,frozenset({'33121'}),1
0.029485639401550728,frozenset({'33131'}),1
0.0025117396527246914,frozenset({'33141'}),1
0.002620945724582287,frozenset({'34411'}),1
0.006552364311455717,frozenset({'42311'}),1
0.0037130064431582397,frozenset({'42331'}),1
0.012558698263623458,frozenset({'43400'}),1
0.018892650431363983,frozenset({'43411'}),1
0.09391722179753194,frozenset({'43412'}),1
0.08605438462378508,frozenset({'43413'}),1
0.0463033744676204,frozenset({'43414'}),1
0.011248225401332313,frozenset({'43417'}),1
0.0037130064431582397,frozenset({'43423'}),1
0.0231516872338102,frozenset({'49211'}),1
0.01015616468275636,frozenset({'49219'}),1
0.04641258053947799,frozenset({'49421'}),1
0.03592879764114885,frozenset({'49510'}),1
0.014961231844490554,frozenset({'49512'}),1
0.004259036802446216,frozenset({'53101'}),1
0.003057770012012668,frozenset({'53102'}),1
0.006443158239598122,frozenset({'55555'}),1
